"","gend","age","bath","ed","emp","pern","hhh","X","Y","panelId","treat"
"593",2,43,2,4,2,4,2,-55.8580595078883,-27.5432827681667,"7f3394b4a6f19274",0
"594",2,49,1,2,3,4,1,-58.4488804101251,-34.6151479182398,"7f4872475a15c12f",0
"595",1,24,1,3,1,2,1,-64.1832160923879,-31.4170640978912,"7f9fb1856af5ffb4",0
"596",1,41,1,2,1,5,2,-58.0180951945351,-35.0034017708424,"7fa3d97c07fca57f",0
"597",1,35,1,3,2,11,2,-58.8103623815554,-34.6098501944399,"8043f44ac3da3a30",0
"598",1,53,1,3,2,2,1,-68.8008483052465,-38.8307903152535,"8086f4b76a8872fa",0
"599",2,39,1,3,3,7,1,-60.7066788994818,-33.1299963261325,"808ca7819f040540",0
"600",2,31,1,3,2,4,2,-70.5663895816414,-51.4133900352533,"809475a8a28d9a69",0
"601",1,67,1,3,1,4,1,-64.5861516416936,-31.222559240613,"80f1d06046644992",0
"602",2,22,1,3,1,7,2,-58.4312669171142,-29.7664372996871,"80fb19724f15225a",0
"603",1,33,1,2,1,1,1,-59.1275315604157,-33.9965726299644,"812a17ba4d0a9709",0
"604",1,30,1,4,1,5,2,-62.1698825493603,-38.5836883883761,"8179886bd824940a",0
"605",1,19,1,3,1,5,2,-61.049649970697,-32.1553227683438,"81c42f280778fcd9",0
"606",1,26,1,2,1,3,2,-65.2490779521593,-30.9564803167803,"81dd6f1b48c1402d",0
"607",2,47,1,2,1,3,1,-58.6246088672568,-34.7693065019551,"81fb9066ac6a6f1a",0
"608",2,47,1,3,2,5,2,-58.8103623815554,-34.6098501944399,"82741db639bb6f18",0
"609",1,22,1,2,1,5,2,-63.7792471105874,-32.2877127919347,"828138c319f641d5",0
"610",1,48,1,2,1,7,1,-65.3972071113949,-32.2122366332698,"8285a95f34f6213d",0
"611",1,28,2,2,2,6,2,-64.1832160923879,-31.4170640978912,"82f61a9c0fb76408",0
"612",1,21,1,3,1,6,2,-58.4488804101251,-34.6151479182398,"832357ab2689960d",0
"613",1,20,1,4,3,4,2,-67.7093785858779,-45.2860015577364,"835333166cb78779",0
"614",1,21,1,3,1,6,2,-58.4488804101251,-34.6151479182398,"83b55581c2a31ba3",0
"615",2,47,1,2,3,4,1,-58.4488804101251,-34.6151479182398,"83bb2bf19bc68178",0
"616",2,69,1,4,3,5,1,-65.2178480527046,-26.8333109955845,"8423591c01bf472d",0
"617",1,20,1,2,1,5,2,-59.4931953290754,-33.9320720095435,"842420dc1f2ad760",0
"618",1,20,1,3,2,4,2,-66.729166091854,-54.7450048144209,"846c14803adb578c",0
"619",2,62,1,2,3,2,1,-58.423469690169,-34.7541169431057,"84bd8b3ff7b67333",0
"620",1,43,1,2,1,3,1,-58.4488804101251,-34.6151479182398,"8505f7acb96c3408",0
"621",1,33,1,3,2,10,2,-58.2580631285934,-34.876793577096,"85447d43c270d6a8",0
"622",1,26,1,4,1,6,2,-68.5219320837078,-31.4875762140558,"855c2d9a2dd526f1",0
"623",2,28,1,4,2,4,2,-61.0625730848795,-33.8864975209984,"8570d7798a81940c",0
"624",1,29,1,2,1,6,1,-60.9750170479814,-35.4815001862116,"858364cf67065976",0
"625",1,30,1,3,1,3,1,-58.9025599874312,-34.4479556816522,"85a345541c9447aa",0
"626",1,39,1,2,1,2,1,-60.4139182041235,-28.9721169924586,"861a0178710038b0",0
"627",2,18,1,2,2,4,2,-59.6979640185907,-36.789573869325,"86647890cbc1845b",0
"628",1,39,1,2,2,4,2,-55.8580595078883,-27.5432827681667,"867ff82f4db07f54",0
"629",1,45,1,2,1,4,1,-58.7412518747816,-34.710055233357,"86867526d12b75f2",0
"630",1,21,1,2,1,5,1,-58.3668830324285,-34.834805250436,"86ddb3d8d00474f3",0
"631",1,64,1,3,1,3,1,-64.1832160923879,-31.4170640978912,"8719a829b7a8d00b",0
"632",2,27,1,3,1,3,1,-58.7412518747816,-34.710055233357,"873220d182850c55",0
"633",1,43,1,2,1,6,1,-58.4488804101251,-34.6151479182398,"873358f4d94bcb03",0
"634",1,23,1,2,1,1,1,-58.5804719227547,-35.6898709415765,"8738962b208622f6",0
"635",1,26,1,3,1,4,2,-58.7412518747816,-34.710055233357,"8743d8189b937009",0
"636",1,22,1,2,1,5,2,-64.6214326128784,-32.2070268867273,"8795811b7095cf09",0
"637",1,25,1,2,1,4,2,-58.0180951945351,-35.0034017708424,"87a0a692634d5b63",0
"638",1,35,1,2,2,6,2,-64.1832160923879,-31.4170640978912,"87d39cfa608a4724",0
"639",1,31,1,3,1,12,2,-66.2377229273669,-23.0138289119355,"8853ab9ab4ab651c",0
"640",1,39,1,2,1,2,1,-59.1145538004664,-27.7194121391442,"8891c51dd608011b",0
"641",1,43,1,3,1,1,1,-65.2178480527046,-26.8333109955845,"890a0ab7baff3f9d",0
"642",1,45,2,3,1,2,1,-58.9025599874312,-34.4479556816522,"89149a93bf01addd",0
"643",2,65,1,4,1,2,2,-58.7704904274157,-34.3278587595283,"895a98d4371b9a8c",0
"644",1,25,1,2,1,2,2,-61.5324253733312,-33.2230585324393,"89838f179f971209",0
"645",1,28,1,2,1,3,2,-61.5324253733312,-33.2230585324393,"8a0563bbdcba1921",0
"646",1,30,1,3,1,3,1,-60.0438436477086,-31.6969409558606,"8a1689a72452c8c7",0
"647",1,36,1,3,1,5,1,-59.1145538004664,-27.7194121391442,"8addb54661afb00d",0
"648",2,19,1,2,1,2,2,-58.4488804101251,-34.6151479182398,"8af7d8d36649cfb7",0
"649",1,49,1,2,1,5,1,-65.2178480527046,-26.8333109955845,"8afb69cc0bc3ca23",0
"650",1,27,1,2,1,5,2,-63.6063353276385,-33.3294461525529,"8b2034db4c81d77b",0
"651",1,41,1,3,1,2,1,-64.432235728455,-27.8874401651362,"8b2644a88109d923",0
"652",1,20,1,2,1,7,2,-67.5580664653313,-38.5298248372128,"8b2c2cd97879aa7f",0
"653",1,20,1,3,1,3,1,-59.1145538004664,-27.7194121391442,"8b70bf70982c86aa",0
"654",1,47,1,3,1,7,1,-69.5128052140985,-33.6252198323936,"8b9596170f430577",0
"655",1,20,1,3,1,6,2,-58.6914314463256,-34.551278217791,"8c7f2f9c79d16d0f",0
"656",2,20,1,3,1,15,2,-65.2711768340015,-24.8911881837991,"8cfaa1bb3269f715",0
"657",1,20,1,2,2,6,2,-65.2178480527046,-26.8333109955845,"8d1369b4da669f47",0
"658",1,27,1,2,1,8,2,-63.732867013151,-36.8855332712728,"8d33ab8a11253699",0
"659",1,43,1,2,1,3,1,-58.6246088672568,-34.7693065019551,"8da56809f6f5bd85",0
"660",1,32,1,2,1,1,1,-58.8654615414644,-33.2502036906973,"8dd3f5a7f4d734bc",0
"661",2,47,1,3,2,5,2,-58.1552215029755,-34.8181707378354,"8f8574d436b5321c",0
"662",1,19,1,2,2,5,2,-65.8420050450907,-28.4245196975075,"8fdc8cba74fc3b1d",0
"663",2,21,1,4,1,4,2,-58.7640220601412,-27.5196363062383,"8ff72f9c32c097b9",0
"664",1,18,1,2,2,6,2,-58.2767767278006,-34.7349189384936,"907f89f7c1cfd6a7",0
"665",1,25,1,2,1,4,2,-61.9464580733227,-33.9274286765387,"908779304961884c",0
"666",1,26,1,3,1,4,2,-58.4488804101251,-34.6151479182398,"908c7a582656cb62",0
"667",1,41,1,3,1,6,2,-58.5447837824873,-34.1483185346441,"90d3af479a526f05",0
"668",2,27,1,4,1,3,2,-70.2928989809966,-47.9367665181682,"90f5f393c1ab103f",0
"669",1,19,1,2,1,3,1,-60.9750170479814,-35.4815001862116,"90f87229549b773f",0
"670",2,30,1,3,2,3,2,-68.6689759067021,-32.9864228370018,"9123c806ab48a9dc",0
"671",1,51,1,2,1,4,1,-65.2711768340015,-24.8911881837991,"9169a42d5c975c7b",0
"672",1,20,1,3,1,6,2,-58.4762694631934,-34.8303492519273,"92223f76670937f4",0
"673",2,34,1,3,3,4,2,-64.1832160923879,-31.4170640978912,"92504a3c6c1a9507",0
"674",2,35,1,3,3,4,2,-64.1528646180089,-31.1440566145003,"92903fa242a88518",0
"675",1,45,1,2,1,6,1,-58.4488804101251,-34.6151479182398,"930fc0da91475677",0
"676",1,32,1,3,1,4,1,-64.1832160923879,-31.4170640978912,"9310c51cc068f611",0
"677",1,43,1,2,1,5,1,-67.8937920339591,-32.5813407230368,"934b0090fa28a85a",0
"678",1,20,1,3,1,6,2,-58.7412518747816,-34.710055233357,"935c1f491bbf2b7c",0
"679",1,40,1,3,1,5,1,-58.2554167098159,-27.3634401417381,"938840c7c1312838",0
"680",2,47,1,2,1,3,1,-58.7412518747816,-34.710055233357,"939a77caa6f8ca32",0
"681",1,24,1,2,1,4,2,-62.2771151207267,-33.0309956732058,"93ab13f9a37da3c3",0
"682",2,31,1,3,1,4,2,-58.423469690169,-34.7541169431057,"93d48735b4cffaa0",0
"683",1,25,1,3,1,7,2,-69.5504708264156,-30.7162772569716,"947b9f404159663a",0
"684",2,31,1,3,1,4,2,-58.6246088672568,-34.7693065019551,"94a1d73c668198d5",0
"685",2,47,1,3,2,5,2,-58.7412518747816,-34.710055233357,"9504a97cf7b9689a",0
"686",1,38,1,3,1,5,1,-58.3781590459342,-25.938577139892,"95347b480df730af",0
"687",2,58,1,3,1,2,2,-61.049649970697,-32.1553227683438,"9570fcf914659a6f",0
"688",1,73,1,2,3,2,1,-58.8829412440182,-34.1386177245953,"959d036493f884d0",0
"689",1,25,1,3,1,2,1,-57.7400569739232,-37.965633071548,"95a42c753d6186d9",0
"690",1,41,1,2,1,5,1,-68.9011851830163,-32.9282796299466,"967a9559845b5233",0
"691",2,24,1,3,3,4,2,-58.423469690169,-34.7541169431057,"969f7f845310fbba",0
"692",1,18,1,3,1,7,2,-68.6689759067021,-32.9864228370018,"96fc750bf370682b",0
"693",1,21,1,2,2,5,2,-67.4296629904514,-29.400291414559,"97313d5c4031cdab",0
"694",2,72,1,3,3,2,2,-58.4488804101251,-34.6151479182398,"973906a1ffd40330",0
"695",1,22,1,3,1,5,2,-58.7412518747816,-34.710055233357,"977893d00b89f399",0
"696",1,73,1,3,1,2,1,-58.9025599874312,-34.4479556816522,"9786869c53f9f4c4",0
"697",2,27,1,3,2,2,2,-68.3505615915447,-34.9460322967049,"979f50c922061143",0
"698",1,41,1,2,1,6,1,-66.5135809789634,-33.8208567840184,"97c1206a1cb6fb53",0
"699",1,27,1,4,1,4,1,-59.6979640185907,-36.789573869325,"983f623858c6fcaf",0
"700",2,29,1,3,2,3,2,-68.6689759067021,-32.9864228370018,"985d342b56d80259",0
"701",2,31,1,3,2,3,2,-68.3505615915447,-34.9460322967049,"98cad22b7725a70d",0
"702",1,41,1,3,1,6,2,-58.4488804101251,-34.6151479182398,"99151dd3700b218b",0
"703",2,45,1,4,1,5,2,-65.3454299301715,-26.78998718858,"9916bb73da29715c",0
"704",2,29,1,3,2,4,2,-68.3505615915447,-34.9460322967049,"991b446068a86bd5",0
"705",1,31,1,3,1,4,1,-55.8580595078883,-27.5432827681667,"992db7b1a2983009",0
