"","sampleId","gend","age","bath","ed","emp","pern","hhh","X","Y","treat","censusId","PERNUM","SERIAL"
"89","1094432000031",1,21,1,3,1,5,2,-60.6696152885451,-31.4770125774097,1,"109443200003","03","1094432000"
"90","1103099000031",1,22,1,3,1,5,2,-60.7066788994818,-33.1299963261325,1,"110309900003","03","1103099000"
"91","1105828000021",2,38,1,3,2,4,2,-60.7066788994818,-33.1299963261325,1,"110582800002","02","1105828000"
"92","1129481000011",1,21,1,3,2,4,1,-60.7066788994818,-33.1299963261325,1,"112948100001","01","1129481000"
"93","1140387000041",1,20,1,2,1,7,2,-61.3607746418216,-30.2302880837076,1,"114038700004","04","1140387000"
"94","1149694000041",1,27,1,3,1,5,2,-60.9632479719998,-32.9473767894086,1,"114969400004","04","1149694000"
"95","1150467000011",1,46,1,2,1,5,1,-60.9632479719998,-32.9473767894086,1,"115046700001","01","1150467000"
"96","1173293000011",1,33,1,2,2,4,1,-64.7565303558657,-27.4812881208258,1,"117329300001","01","1173293000"
"97","1179133000051",2,83,1,2,3,5,2,-64.9789936971861,-26.9164024412054,1,"117913300005","05","1179133000"
"98","1189019000031",1,18,1,3,1,7,2,-65.6421996721068,-27.1077722449592,1,"118901900003","03","1189019000"
"99","1214964000041",1,21,1,3,2,7,2,-67.9020452530799,-54.0284903730289,1,"121496400004","04","1214964000"
